"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 13 11:41:04 GMT 2025","Tue May 13 11:41:05 GMT 2025","1035","","ui.WebFormTests","","ui.WebFormTests","dropdownSelectTest","dropdownSelectTest()",""
"passed","Tue May 13 11:40:55 GMT 2025","Tue May 13 11:40:57 GMT 2025","1902","","ui.HomePageTests","","ui.HomePageTests","openHomePageTest","openHomePageTest()",""
"passed","Tue May 13 11:41:03 GMT 2025","Tue May 13 11:41:04 GMT 2025","751","","ui.WebFormTests","","ui.WebFormTests","openWebFormTest","openWebFormTest()",""
"passed","Tue May 13 11:41:00 GMT 2025","Tue May 13 11:41:03 GMT 2025","2823","","ui.WebFormTests","","ui.WebFormTests","sendTextTest","sendTextTest()",""
"passed","Tue May 13 11:41:00 GMT 2025","Tue May 13 11:41:00 GMT 2025","688","","ui.NavigationTests","","ui.NavigationTests","checkTextTest","checkTextTest()",""
"passed","Tue May 13 11:41:08 GMT 2025","Tue May 13 11:41:09 GMT 2025","953","","ui.WebFormTests","","ui.WebFormTests","disabledFieldTest","disabledFieldTest()",""
"passed","Tue May 13 11:41:05 GMT 2025","Tue May 13 11:41:08 GMT 2025","2969","","ui.WebFormTests","","ui.WebFormTests","submitFormTest","submitFormTest()",""
"passed","Tue May 13 11:40:58 GMT 2025","Tue May 13 11:40:59 GMT 2025","710","","ui.NavigationTests","","ui.NavigationTests","previousButtonDisabledTest","previousButtonDisabledTest()",""
"passed","Tue May 13 11:40:59 GMT 2025","Tue May 13 11:41:00 GMT 2025","678","","ui.NavigationTests","","ui.NavigationTests","openNavigationTest","openNavigationTest()",""
"passed","Tue May 13 11:40:57 GMT 2025","Tue May 13 11:40:58 GMT 2025","961","","ui.NavigationTests","","ui.NavigationTests","clickNextButtonTest","clickNextButtonTest()",""
